# Contents of current scaler buffer
# Channels 152 - 503
# Chan	Content
  152	1.86534e+07
  153	1.1267e+07
  154	2.74014e+07
  155	2.9674e+07
  156	2.88512e+07
  157	3.19983e+07
  158	3.70461e+07
  159	3.83481e+07
  160	3.73077e+07
  161	3.7451e+07
  162	3.17991e+07
  163	3.97511e+07
  164	1.89696e+07
  165	1.7232e+07
  166	1.70823e+07
  167	2.86351e+07
  168	3.06421e+07
  169	2.99962e+07
  170	3.23509e+07
  171	3.82531e+07
  172	3.61739e+07
  173	3.80486e+07
  174	1.74158e+07
  175	3.19377e+07
  176	4.53941e+07
  177	2.94623e+07
  178	3.4697e+07
  179	4.04142e+07
  180	3.45935e+07
  181	4.28825e+07
  182	2.32024e+07
  183	4.02758e+07
  184	4.27372e+07
  185	2.67382e+07
  186	3.53062e+07
  187	3.70882e+07
  188	3.73907e+07
  189	3.80833e+07
  190	4.85219e+06
  191	4.11169e+06
  192	3.70911e+07
  193	3.72965e+07
  194	3.86523e+07
  195	3.73553e+07
  196	3.82478e+07
  197	3.79245e+07
  198	3.95385e+07
  199	3.58729e+07
  200	4.18774e+07
  201	3.76926e+07
  202	3.93644e+07
  203	1.60083e+07
  204	1.92289e+07
  205	4.02123e+07
  206	3.95109e+07
  207	4.07765e+07
  208	4.07978e+07
  209	3.85967e+07
  210	3.85635e+07
  211	2.06345e+07
  212	2.08534e+07
  213	3.87393e+07
  214	3.9287e+07
  215	4.34365e+07
  216	4.25886e+07
  217	4.30147e+07
  218	4.44625e+07
  219	4.41364e+07
  220	4.23067e+07
  221	2.40013e+07
  222	2.68231e+07
  223	4.29007e+07
  224	4.55455e+07
  225	4.45278e+07
  226	4.15574e+07
  227	4.34637e+07
  228	4.69813e+07
  229	4.64334e+07
  230	4.6408e+07
  231	4.74981e+07
  232	4.61756e+07
  233	4.5418e+07
  234	4.67921e+07
  235	4.95844e+07
  236	4.38158e+07
  237	4.31222e+07
  238	4.81481e+07
  239	4.88667e+07
  240	4.51278e+07
  241	4.82733e+07
  242	5.0112e+07
  243	5.03905e+07
  244	5.07819e+07
  245	5.22561e+07
  246	5.24258e+07
  247	5.12261e+07
  248	3.51223e+07
  249	5.27378e+07
  250	5.3451e+07
  251	5.29855e+07
  252	5.0355e+07
  253	5.21042e+07
  254	5.43351e+07
  255	4.69985e+07
  256	5.28576e+07
  257	4.45401e+07
  258	5.59172e+07
  259	5.6349e+07
  260	5.87952e+07
  261	5.7213e+07
  262	5.79959e+07
  263	5.65515e+07
  264	5.94013e+07
  265	5.58772e+07
  266	5.66573e+07
  267	5.81508e+07
  268	5.4127e+07
  269	4.94611e+07
  270	5.39147e+07
  271	5.65525e+07
  272	6.3258e+07
  273	6.28948e+07
  274	6.35837e+07
  275	6.19511e+07
  276	6.1059e+07
  277	6.26788e+07
  278	5.69002e+07
  279	6.15587e+07
  280	6.46229e+07
  281	6.28575e+07
  282	6.47192e+07
  283	6.46202e+07
  284	6.55253e+07
  285	6.64926e+07
  286	6.84417e+07
  287	6.83766e+07
