 Heavy Baryon ChPT calculations (Bernard, Meissner, Kaiser)
   version PLB 378, 1996  (4th order in S- and 3rd order in P waves)
    (evaluation: L. Tiator, May 26, 2008)

    Elab           Theta      dsigma/dOmega     Sigma
    147.5000        0.0000        0.0629        0.0000
    147.5000        5.0000        0.0671        0.0223
    147.5000       10.0000        0.0797        0.0746
    147.5000       15.0000        0.1004        0.1315
    147.5000       20.0000        0.1289        0.1788
    147.5000       25.0000        0.1647        0.2137
    147.5000       30.0000        0.2071        0.2379
    147.5000       35.0000        0.2554        0.2538
    147.5000       40.0000        0.3088        0.2636
    147.5000       45.0000        0.3664        0.2689
    147.5000       50.0000        0.4272        0.2706
    147.5000       55.0000        0.4904        0.2696
    147.5000       60.0000        0.5549        0.2663
    147.5000       65.0000        0.6197        0.2612
    147.5000       70.0000        0.6841        0.2543
    147.5000       75.0000        0.7471        0.2461
    147.5000       80.0000        0.8079        0.2365
    147.5000       85.0000        0.8660        0.2258
    147.5000       90.0000        0.9207        0.2140
    147.5000       95.0000        0.9715        0.2013
    147.5000      100.0000        1.0182        0.1877
    147.5000      105.0000        1.0604        0.1734
    147.5000      110.0000        1.0982        0.1584
    147.5000      115.0000        1.1314        0.1430
    147.5000      120.0000        1.1603        0.1274
    147.5000      125.0000        1.1849        0.1116
    147.5000      130.0000        1.2055        0.0959
    147.5000      135.0000        1.2225        0.0806
    147.5000      140.0000        1.2363        0.0658
    147.5000      145.0000        1.2472        0.0520
    147.5000      150.0000        1.2557        0.0392
    147.5000      155.0000        1.2620        0.0279
    147.5000      160.0000        1.2667        0.0182
    147.5000      165.0000        1.2699        0.0104
    147.5000      170.0000        1.2721        0.0047
    147.5000      175.0000        1.2733        0.0012
    147.5000      180.0000        1.2737        0.0000
    152.5000        0.0000        1.5020        0.0000
    152.5000        5.0000        1.5147        0.0050
    152.5000       10.0000        1.5524        0.0193
    152.5000       15.0000        1.6143        0.0413
    152.5000       20.0000        1.6988        0.0686
    152.5000       25.0000        1.8037        0.0986
    152.5000       30.0000        1.9265        0.1293
    152.5000       35.0000        2.0640        0.1588
    152.5000       40.0000        2.2130        0.1860
    152.5000       45.0000        2.3698        0.2101
    152.5000       50.0000        2.5306        0.2310
    152.5000       55.0000        2.6917        0.2483
    152.5000       60.0000        2.8494        0.2622
    152.5000       65.0000        3.0001        0.2727
    152.5000       70.0000        3.1405        0.2800
    152.5000       75.0000        3.2679        0.2844
    152.5000       80.0000        3.3797        0.2858
    152.5000       85.0000        3.4740        0.2845
    152.5000       90.0000        3.5495        0.2806
    152.5000       95.0000        3.6053        0.2742
    152.5000      100.0000        3.6412        0.2653
    152.5000      105.0000        3.6576        0.2541
    152.5000      110.0000        3.6556        0.2406
    152.5000      115.0000        3.6365        0.2250
    152.5000      120.0000        3.6023        0.2074
    152.5000      125.0000        3.5554        0.1880
    152.5000      130.0000        3.4986        0.1671
    152.5000      135.0000        3.4346        0.1450
    152.5000      140.0000        3.3666        0.1222
    152.5000      145.0000        3.2976        0.0994
    152.5000      150.0000        3.2306        0.0771
    152.5000      155.0000        3.1685        0.0561
    152.5000      160.0000        3.1138        0.0374
    152.5000      165.0000        3.0689        0.0217
    152.5000      170.0000        3.0354        0.0099
    152.5000      175.0000        3.0148        0.0025
    152.5000      180.0000        3.0078        0.0000
    157.5000        0.0000        3.4908        0.0000
    157.5000        5.0000        3.5183        0.0049
    157.5000       10.0000        3.5999        0.0190
    157.5000       15.0000        3.7334        0.0406
    157.5000       20.0000        3.9154        0.0676
    157.5000       25.0000        4.1411        0.0977
    157.5000       30.0000        4.4046        0.1285
    157.5000       35.0000        4.6989        0.1585
    157.5000       40.0000        5.0166        0.1865
    157.5000       45.0000        5.3494        0.2116
    157.5000       50.0000        5.6888        0.2336
    157.5000       55.0000        6.0265        0.2521
    157.5000       60.0000        6.3541        0.2673
    157.5000       65.0000        6.6637        0.2791
    157.5000       70.0000        6.9482        0.2878
    157.5000       75.0000        7.2011        0.2934
    157.5000       80.0000        7.4171        0.2961
    157.5000       85.0000        7.5921        0.2960
    157.5000       90.0000        7.7233        0.2932
    157.5000       95.0000        7.8090        0.2877
    157.5000      100.0000        7.8492        0.2798
    157.5000      105.0000        7.8451        0.2693
    157.5000      110.0000        7.7993        0.2563
    157.5000      115.0000        7.7154        0.2411
    157.5000      120.0000        7.5984        0.2235
    157.5000      125.0000        7.4539        0.2038
    157.5000      130.0000        7.2884        0.1823
    157.5000      135.0000        7.1090        0.1592
    157.5000      140.0000        6.9229        0.1351
    157.5000      145.0000        6.7374        0.1106
    157.5000      150.0000        6.5597        0.0863
    157.5000      155.0000        6.3965        0.0632
    157.5000      160.0000        6.2539        0.0424
    157.5000      165.0000        6.1371        0.0247
    157.5000      170.0000        6.0506        0.0113
    157.5000      175.0000        5.9973        0.0029
    157.5000      180.0000        5.9794        0.0000
    162.5000        0.0000        5.9564        0.0000
    162.5000        5.0000        6.0034        0.0051
    162.5000       10.0000        6.1433        0.0197
    162.5000       15.0000        6.3721        0.0421
    162.5000       20.0000        6.6838        0.0701
    162.5000       25.0000        7.0698        0.1011
    162.5000       30.0000        7.5197        0.1331
    162.5000       35.0000        8.0215        0.1642
    162.5000       40.0000        8.5618        0.1932
    162.5000       45.0000        9.1262        0.2194
    162.5000       50.0000        9.6998        0.2422
    162.5000       55.0000       10.2679        0.2616
    162.5000       60.0000       10.8158        0.2776
    162.5000       65.0000       11.3298        0.2903
    162.5000       70.0000       11.7974        0.2997
    162.5000       75.0000       12.2075        0.3060
    162.5000       80.0000       12.5508        0.3094
    162.5000       85.0000       12.8204        0.3099
    162.5000       90.0000       13.0114        0.3077
    162.5000       95.0000       13.1215        0.3028
    162.5000      100.0000       13.1507        0.2953
    162.5000      105.0000       13.1016        0.2851
    162.5000      110.0000       12.9790        0.2724
    162.5000      115.0000       12.7899        0.2571
    162.5000      120.0000       12.5432        0.2394
    162.5000      125.0000       12.2494        0.2193
    162.5000      130.0000       11.9205        0.1971
    162.5000      135.0000       11.5690        0.1730
    162.5000      140.0000       11.2082        0.1476
    162.5000      145.0000       10.8515        0.1214
    162.5000      150.0000       10.5116        0.0952
    162.5000      155.0000       10.2008        0.0701
    162.5000      160.0000        9.9302        0.0472
    162.5000      165.0000        9.7091        0.0276
    162.5000      170.0000        9.5455        0.0126
