 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 8.35397e+08   Inhib.Clock = 3.49848e+08   Live =  0.41878
Backgr.clock = 9.30932e+08    Backgr.Inhib.clock = 2.73464e+08  Live = 0.293753
Background scale factor =  1.27932

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   212      647       30    0.3277 +- 0.0259   0.3483 +- 0.0283
   2   218      371       19    0.5876 +- 0.0501   0.6288 +- 0.0560
   3   180     1046       42    0.1721 +- 0.0139   0.1814 +- 0.0148
   4   107     1091       38    0.0981 +- 0.0099   0.1026 +- 0.0105
   5   169      940       50    0.1798 +- 0.0150   0.1929 +- 0.0164
   6   327     1061       41    0.3082 +- 0.0195   0.3242 +- 0.0209
   7   299     1325       35    0.2257 +- 0.0144   0.2336 +- 0.0151
   8   339     1337       44    0.2536 +- 0.0154   0.2647 +- 0.0163
   9   379     1345       49    0.2818 +- 0.0164   0.2956 +- 0.0175
  10   306     1416       37    0.2161 +- 0.0136   0.2236 +- 0.0142
  11   306      983       35    0.3113 +- 0.0204   0.3261 +- 0.0218
  12   311     1393       46    0.2233 +- 0.0140   0.2331 +- 0.0148
  13   326      662       27    0.4924 +- 0.0333   0.5196 +- 0.0362
  14   424      563       23    0.7531 +- 0.0484   0.7946 +- 0.0531
  15   445      567       34    0.7848 +- 0.0497   0.8500 +- 0.0571
  16   422     1002       35    0.4212 +- 0.0244   0.4409 +- 0.0262
  17   406     1155       41    0.3515 +- 0.0203   0.3682 +- 0.0217
  18   418      972       42    0.4300 +- 0.0252   0.4552 +- 0.0274
  19   454     1030       49    0.4408 +- 0.0248   0.4693 +- 0.0273
  20   433     1389       53    0.3117 +- 0.0172   0.3277 +- 0.0184
  21   203     1301       49    0.1560 +- 0.0118   0.1639 +- 0.0125
  22   322     1374       43    0.2344 +- 0.0145   0.2441 +- 0.0153
  23   323      632       23    0.5111 +- 0.0350   0.5360 +- 0.0377
  24   407      999       41    0.4074 +- 0.0240   0.4300 +- 0.0260
  25   438     1619       63    0.2705 +- 0.0146   0.2847 +- 0.0156
  26   368     1077       38    0.3417 +- 0.0206   0.3578 +- 0.0220
  27   376     1322       54    0.2844 +- 0.0166   0.3001 +- 0.0179
  28   445     1508       50    0.2951 +- 0.0159   0.3082 +- 0.0169
  29   370     1277       32    0.2897 +- 0.0171   0.2993 +- 0.0179
  30   469     1630       49    0.2877 +- 0.0151   0.2992 +- 0.0159
  31   264      835       39    0.3162 +- 0.0223   0.3363 +- 0.0244
  32   306     1415       51    0.2163 +- 0.0136   0.2267 +- 0.0145
  33   330     1569       52    0.2103 +- 0.0127   0.2196 +- 0.0135
  34   295      985       41    0.2995 +- 0.0199   0.3163 +- 0.0215
  35   375     1242       54    0.3019 +- 0.0178   0.3197 +- 0.0193
  36   412     1377       44    0.2992 +- 0.0168   0.3120 +- 0.0178
  37   356     1366       47    0.2606 +- 0.0155   0.2726 +- 0.0165
  38   418     1392       63    0.3003 +- 0.0167   0.3187 +- 0.0182
  39    51      202       17    0.2525 +- 0.0396   0.2829 +- 0.0462
  40    37      164       15    0.2256 +- 0.0411   0.2555 +- 0.0485
  41   393     1315       52    0.2989 +- 0.0172   0.3148 +- 0.0185
  42   423     1413       39    0.2994 +- 0.0166   0.3103 +- 0.0174
  43   390     1414       53    0.2758 +- 0.0158   0.2897 +- 0.0169
  44   411     1358       45    0.3027 +- 0.0170   0.3160 +- 0.0181
  45   390     1316       57    0.2964 +- 0.0171   0.3137 +- 0.0185
  46   387     1358       59    0.2850 +- 0.0164   0.3017 +- 0.0178
  47   380     1412       45    0.2691 +- 0.0156   0.2806 +- 0.0165
  48   403     1276       54    0.3158 +- 0.0180   0.3339 +- 0.0195
  49   408     1481       48    0.2755 +- 0.0154   0.2874 +- 0.0163
  50   362     1333       49    0.2716 +- 0.0161   0.2850 +- 0.0172
  51   432     1398       45    0.3090 +- 0.0170   0.3223 +- 0.0180
  52   168      600       21    0.2800 +- 0.0244   0.2931 +- 0.0260
  53   170      640       36    0.2656 +- 0.0229   0.2862 +- 0.0254
  54   456     1413       50    0.3227 +- 0.0174   0.3380 +- 0.0186
  55   436     1430       37    0.3049 +- 0.0167   0.3153 +- 0.0175
  56   427     1453       48    0.2939 +- 0.0162   0.3068 +- 0.0172
  57   400     1388       35    0.2882 +- 0.0164   0.2978 +- 0.0171
  58   422     1368       53    0.3085 +- 0.0172   0.3246 +- 0.0184
  59   458     1430       47    0.3203 +- 0.0172   0.3343 +- 0.0183
  60   224      790       34    0.2835 +- 0.0215   0.3001 +- 0.0232
  61   217      792       21    0.2740 +- 0.0210   0.2836 +- 0.0220
  62   480     1453       37    0.3304 +- 0.0174   0.3415 +- 0.0182
  63   415     1392       45    0.2981 +- 0.0167   0.3110 +- 0.0177
  64   455     1539       62    0.2956 +- 0.0158   0.3117 +- 0.0170
  65   513     1607       68    0.3192 +- 0.0162   0.3375 +- 0.0175
  66   502     1538       52    0.3264 +- 0.0168   0.3412 +- 0.0179
  67   507     1581       47    0.3207 +- 0.0164   0.3334 +- 0.0173
  68   501     1542       62    0.3249 +- 0.0167   0.3425 +- 0.0180
  69   471     1532       42    0.3074 +- 0.0162   0.3186 +- 0.0170
  70   347      970       38    0.3577 +- 0.0224   0.3766 +- 0.0241
  71   386     1148       44    0.3362 +- 0.0198   0.3536 +- 0.0213
  72   589     1626       55    0.3622 +- 0.0174   0.3786 +- 0.0186
  73   565     1692       57    0.3339 +- 0.0162   0.3490 +- 0.0173
  74   555     1734       53    0.3201 +- 0.0156   0.3331 +- 0.0165
  75   495     1486       53    0.3331 +- 0.0173   0.3490 +- 0.0185
  76   602     1689       57    0.3564 +- 0.0169   0.3725 +- 0.0180
  77   710     1924       67    0.3690 +- 0.0162   0.3862 +- 0.0173
  78   699     1848       68    0.3782 +- 0.0168   0.3969 +- 0.0180
  79   612     1798       80    0.3404 +- 0.0159   0.3609 +- 0.0173
  80   681     1852       57    0.3677 +- 0.0165   0.3828 +- 0.0175
  81   631     1816       54    0.3475 +- 0.0161   0.3612 +- 0.0170
  82   572     1753       51    0.3263 +- 0.0157   0.3389 +- 0.0166
  83   668     1816       69    0.3678 +- 0.0166   0.3866 +- 0.0179
  84   675     1943       72    0.3474 +- 0.0155   0.3647 +- 0.0166
  85   632     1711       53    0.3694 +- 0.0172   0.3846 +- 0.0182
  86   626     1777       48    0.3523 +- 0.0164   0.3649 +- 0.0172
