 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 5.4924e+08   Inhib.Clock = 1.87177e+08   Live = 0.340792
Backgr.clock = 1.51349e+09    Backgr.Inhib.clock = 5.07553e+08  Live = 0.335354
Background scale factor = 0.368782

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1     0       18      634    0.0000 +- 0.0000   0.0000 +- 0.0000
   2     0        9      404    0.0000 +- 0.0000   0.0000 +- 0.0000
   3     0       12     1116    0.0000 +- 0.0000   0.0000 +- 0.0000
   4     0       10     1212    0.0000 +- 0.0000   0.0000 +- 0.0000
   5     0        7     1040    0.0000 +- 0.0000   0.0000 +- 0.0000
   6     0       12     1131    0.0000 +- 0.0000   0.0000 +- 0.0000
   7     0       11     1574    0.0000 +- 0.0000   0.0000 +- 0.0000
   8     0       15     1619    0.0000 +- 0.0000   0.0000 +- 0.0000
   9     0        9     1568    0.0000 +- 0.0000   0.0000 +- 0.0000
  10     0       12     1618    0.0000 +- 0.0000   0.0000 +- 0.0000
  11     0        9     1116    0.0000 +- 0.0000   0.0000 +- 0.0000
  12     0       14     1643    0.0000 +- 0.0000   0.0000 +- 0.0000
  13     0       14      680    0.0000 +- 0.0000   0.0000 +- 0.0000
  14     0       14      620    0.0000 +- 0.0000   0.0000 +- 0.0000
  15     0        9      665    0.0000 +- 0.0000   0.0000 +- 0.0000
  16     0        9     1210    0.0000 +- 0.0000   0.0000 +- 0.0000
  17     0        8     1230    0.0000 +- 0.0000   0.0000 +- 0.0000
  18     0       11     1033    0.0000 +- 0.0000   0.0000 +- 0.0000
  19     0       14     1225    0.0000 +- 0.0000   0.0000 +- 0.0000
  20     0       19     1620    0.0000 +- 0.0000   0.0000 +- 0.0000
  21     0       11     1491    0.0000 +- 0.0000   0.0000 +- 0.0000
  22     0       10     1601    0.0000 +- 0.0000   0.0000 +- 0.0000
  23     0       10      695    0.0000 +- 0.0000   0.0000 +- 0.0000
  24     0       11     1178    0.0000 +- 0.0000   0.0000 +- 0.0000
  25     0       26     1886    0.0000 +- 0.0000   0.0000 +- 0.0000
  26     0       23     1281    0.0000 +- 0.0000   0.0000 +- 0.0000
  27    15    40560     1451    0.0004 +- 0.0001   0.0004 +- 0.0001
  28     0      740     1770    0.0000 +- 0.0000   0.0000 +- 0.0000
  29     0        8     1442    0.0000 +- 0.0000   0.0000 +- 0.0000
  30     0       16     1854    0.0000 +- 0.0000   0.0000 +- 0.0000
  31     0       11      957    0.0000 +- 0.0000   0.0000 +- 0.0000
  32     0       11     1736    0.0000 +- 0.0000   0.0000 +- 0.0000
  33     0       17     1825    0.0000 +- 0.0000   0.0000 +- 0.0000
  34     0       11     1111    0.0000 +- 0.0000   0.0000 +- 0.0000
  35     0       11     1539    0.0000 +- 0.0000   0.0000 +- 0.0000
  36     0       16     1577    0.0000 +- 0.0000   0.0000 +- 0.0000
  37     0       11     1547    0.0000 +- 0.0000   0.0000 +- 0.0000
  38     0        9     1567    0.0000 +- 0.0000   0.0000 +- 0.0000
  39     0        5      231    0.0000 +- 0.0000   0.0000 +- 0.0000
  40     0        7      221    0.0000 +- 0.0000   0.0000 +- 0.0000
  41     0        9     1574    0.0000 +- 0.0000   0.0000 +- 0.0000
  42     0       14     1567    0.0000 +- 0.0000   0.0000 +- 0.0000
  43     0        9     1639    0.0000 +- 0.0000   0.0000 +- 0.0000
  44     0       11     1636    0.0000 +- 0.0000   0.0000 +- 0.0000
  45     0       18     1680    0.0000 +- 0.0000   0.0000 +- 0.0000
  46     0        9     1665    0.0000 +- 0.0000   0.0000 +- 0.0000
  47     0       10     1586    0.0000 +- 0.0000   0.0000 +- 0.0000
  48     0       15     1558    0.0000 +- 0.0000   0.0000 +- 0.0000
  49     0        9     1760    0.0000 +- 0.0000   0.0000 +- 0.0000
  50     0        8     1628    0.0000 +- 0.0000   0.0000 +- 0.0000
  51     0        7     1690    0.0000 +- 0.0000   0.0000 +- 0.0000
  52     0        6      646    0.0000 +- 0.0000   0.0000 +- 0.0000
  53     0        5      869    0.0000 +- 0.0000   0.0000 +- 0.0000
  54     0       11     1654    0.0000 +- 0.0000   0.0000 +- 0.0000
  55     0        8     1659    0.0000 +- 0.0000   0.0000 +- 0.0000
  56     0       10     1714    0.0000 +- 0.0000   0.0000 +- 0.0000
  57     0        9     1676    0.0000 +- 0.0000   0.0000 +- 0.0000
  58     0        4     1684    0.0000 +- 0.0000   0.0000 +- 0.0000
  59     0       11     1680    0.0000 +- 0.0000   0.0000 +- 0.0000
  60     0        9      940    0.0000 +- 0.0000   0.0000 +- 0.0000
  61     0        6      877    0.0000 +- 0.0000   0.0000 +- 0.0000
  62     0       10     1615    0.0000 +- 0.0000   0.0000 +- 0.0000
  63     0        9     1651    0.0000 +- 0.0000   0.0000 +- 0.0000
  64     0       21     1814    0.0000 +- 0.0000   0.0000 +- 0.0000
  65     0       16     1852    0.0000 +- 0.0000   0.0000 +- 0.0000
