 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 3.24095e+08   Inhib.Clock = 1.44407e+08   Live =  0.44557
Backgr.clock = 1.06413e+09    Backgr.Inhib.clock = 3.31927e+08  Live = 0.311922
Background scale factor = 0.435056

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1    37      199       13    0.1859 +- 0.0333   0.1914 +- 0.0345
   2    31      118       15    0.2627 +- 0.0530   0.2781 +- 0.0570
   3    28      367       26    0.0763 +- 0.0150   0.0787 +- 0.0155
   4    26      345       20    0.0754 +- 0.0153   0.0773 +- 0.0158
   5    23      292       18    0.0788 +- 0.0171   0.0809 +- 0.0176
   6    74      374       19    0.1979 +- 0.0252   0.2023 +- 0.0259
   7    60      448       32    0.1339 +- 0.0184   0.1382 +- 0.0191
   8    72      495       31    0.1455 +- 0.0183   0.1495 +- 0.0189
   9    70      497       26    0.1408 +- 0.0180   0.1441 +- 0.0185
  10    50      468       20    0.1068 +- 0.0159   0.1089 +- 0.0162
  11    67      396       20    0.1692 +- 0.0224   0.1730 +- 0.0229
  12    65      517       21    0.1257 +- 0.0165   0.1280 +- 0.0169
  13    56      198       19    0.2828 +- 0.0428   0.2952 +- 0.0452
  14    66      199       16    0.3317 +- 0.0471   0.3437 +- 0.0494
  15    81      178       11    0.4551 +- 0.0610   0.4676 +- 0.0633
  16    88      348       20    0.2529 +- 0.0302   0.2594 +- 0.0311
  17    75      384       15    0.1953 +- 0.0247   0.1987 +- 0.0252
  18    86      353       19    0.2436 +- 0.0293   0.2495 +- 0.0302
  19    79      335       25    0.2358 +- 0.0295   0.2437 +- 0.0307
  20    82      506       28    0.1621 +- 0.0193   0.1661 +- 0.0199
  21    38      450       24    0.0844 +- 0.0143   0.0865 +- 0.0146
  22    70      509       26    0.1375 +- 0.0175   0.1407 +- 0.0180
  23    58      233       17    0.2489 +- 0.0365   0.2571 +- 0.0380
