 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.58102e+08   Inhib.Clock = 3.28535e+08   Live = 0.433365
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =  1.71182

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1    68      460        8    0.1478 +- 0.0192   0.1524 +- 0.0199
   2    84      271        7    0.3100 +- 0.0387   0.3243 +- 0.0413
   3    74      804        9    0.0920 +- 0.0112   0.0938 +- 0.0114
   4    42      913        9    0.0460 +- 0.0073   0.0468 +- 0.0074
   5    65      723       11    0.0899 +- 0.0116   0.0923 +- 0.0120
   6   123      862       13    0.1427 +- 0.0138   0.1465 +- 0.0142
   7   141     1212       20    0.1163 +- 0.0104   0.1197 +- 0.0107
   8   137     1311       14    0.1045 +- 0.0094   0.1064 +- 0.0096
   9   163     1172       13    0.1391 +- 0.0116   0.1418 +- 0.0119
  10   101     1208       14    0.0836 +- 0.0087   0.0853 +- 0.0089
  11   126      829        7    0.1520 +- 0.0145   0.1542 +- 0.0148
  12   157     1239       11    0.1267 +- 0.0107   0.1287 +- 0.0109
  13   131      454        8    0.2885 +- 0.0286   0.2975 +- 0.0299
  14   197      431        7    0.4571 +- 0.0393   0.4701 +- 0.0411
  15   197      434       10    0.4539 +- 0.0390   0.4726 +- 0.0416
  16   215      853        7    0.2521 +- 0.0192   0.2556 +- 0.0196
  17   195      917       12    0.2126 +- 0.0168   0.2175 +- 0.0173
  18   185      710       12    0.2606 +- 0.0215   0.2683 +- 0.0224
  19   191      825       16    0.2315 +- 0.0186   0.2395 +- 0.0195
  20   203     1256       17    0.1616 +- 0.0122   0.1655 +- 0.0126
  21   102     1211       12    0.0842 +- 0.0087   0.0857 +- 0.0089
  22   151     1233        8    0.1225 +- 0.0106   0.1238 +- 0.0107
  23   147      572        4    0.2570 +- 0.0238   0.2601 +- 0.0242
  24   173      845        8    0.2047 +- 0.0171   0.2081 +- 0.0175
  25   218     1445       11    0.1509 +- 0.0110   0.1529 +- 0.0111
