 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.35189e+08   Inhib.Clock = 3.26688e+08   Live = 0.444359
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =   1.7022

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1    85      514        8    0.1654 +- 0.0194   0.1699 +- 0.0200
   2    86      340        7    0.2529 +- 0.0305   0.2621 +- 0.0321
   3    75     1043        9    0.0719 +- 0.0086   0.0730 +- 0.0087
   4    46     1097        9    0.0419 +- 0.0063   0.0425 +- 0.0064
   5    67      815       11    0.0822 +- 0.0104   0.0841 +- 0.0107
   6   169     1036       13    0.1631 +- 0.0135   0.1667 +- 0.0139
   7   139     1427       20    0.0974 +- 0.0087   0.0998 +- 0.0089
   8   175     1496       14    0.1170 +- 0.0093   0.1189 +- 0.0095
   9   190     1476       13    0.1287 +- 0.0099   0.1307 +- 0.0101
  10   148     1545       14    0.0958 +- 0.0082   0.0973 +- 0.0084
  11   117     1002        7    0.1168 +- 0.0114   0.1182 +- 0.0116
  12   161     1546       11    0.1041 +- 0.0086   0.1054 +- 0.0087
  13   154      539        8    0.2857 +- 0.0261   0.2931 +- 0.0271
  14   245      530        7    0.4623 +- 0.0357   0.4729 +- 0.0370
  15   231      528       10    0.4375 +- 0.0345   0.4521 +- 0.0363
  16   240     1043        7    0.2301 +- 0.0165   0.2328 +- 0.0167
  17   241     1141       12    0.2112 +- 0.0150   0.2151 +- 0.0153
  18   273      793       12    0.3443 +- 0.0242   0.3534 +- 0.0251
  19   238     1058       16    0.2250 +- 0.0161   0.2309 +- 0.0167
  20   246     1463       17    0.1681 +- 0.0116   0.1715 +- 0.0119
  21   130     1409       12    0.0923 +- 0.0085   0.0936 +- 0.0086
  22   145     1463        8    0.0991 +- 0.0086   0.1000 +- 0.0087
  23   170      701        4    0.2425 +- 0.0207   0.2449 +- 0.0210
  24   216      965        8    0.2238 +- 0.0168   0.2270 +- 0.0172
  25   249     1775       11    0.1403 +- 0.0095   0.1418 +- 0.0096
  26   193     1146       11    0.1684 +- 0.0131   0.1712 +- 0.0134
  27   216     1359       15    0.1589 +- 0.0116   0.1620 +- 0.0119
  28   255     1520       19    0.1678 +- 0.0114   0.1714 +- 0.0117
  29   180     1274        9    0.1413 +- 0.0113   0.1430 +- 0.0114
  30   224     1609       14    0.1392 +- 0.0099   0.1413 +- 0.0101
